customer_id,first_name,last_name,email,phone,date_of_birth,join_date,customer_segment
CUST-00087,Joseph,Snyder,victormora@example.net,729.395.8795,1960-10-23,2022-09-20,Wealth
CUST-00088,Kristen,Cook,melissa38@example.com,001-757-470-4501x124,1997-07-10,2023-05-31,Retail
CUST-00089,Crystal,Hatfield,gberg@example.net,586.415.5826,1989-06-21,2025-08-20,Corporate
CUST-00090,Natalie,Collins,maureenoliver@example.com,(641)450-7818,1998-04-21,2024-08-05,Wealth
CUST-00091,Michelle,Mendez,michael78@example.org,688.650.0466,2008-03-27,2021-04-15,Corporate
CUST-00092,Mike,Stevenson,thomashuang@example.net,244.762.9538x96117,2002-04-12,2023-07-19,Retail
CUST-00093,Jennifer,Hill,lucerobrian@example.com,001-697-565-0051,1943-01-01,2024-02-01,Retail
CUST-00094,Benjamin,Jarvis,rangelcrystal@example.org,368-940-9532,2001-03-29,2024-12-01,Retail
CUST-00095,Christine,Black,laurabutler@example.com,3856424492,1955-10-09,2022-12-15,Retail
CUST-00096,Leslie,Maldonado,nataliewheeler@example.com,(354)528-7345,1972-04-01,2024-02-11,Corporate
CUST-00097,Justin,Caldwell,kyoung@example.com,993-650-9177x585,1981-08-20,2024-12-22,Wealth
CUST-00098,Amber,Fisher,jennifer09@example.com,+1-825-401-1338x9415,1947-02-16,2023-06-16,Retail
CUST-00099,Kaitlyn,Ray,sfrank@example.org,941-428-7561x214,1938-09-10,2025-11-19,Wealth
CUST-00100,Bradley,Gray,dmorris@example.net,+1-401-431-1014x0959,2000-06-19,2021-09-02,Retail
CUST-00101,Matthew,Johnson,ngillespie@example.org,001-718-534-0424x1820,1983-02-25,2024-11-15,Corporate
CUST-00102,Amanda,Torres,kknight@example.com,001-527-736-5556x929,1948-12-09,2024-12-21,Corporate
CUST-00103,Erin,Moore,christopher05@example.org,(965)278-1939x15700,1987-03-23,2021-05-10,Wealth
CUST-00104,Brittany,Ruiz,ysanders@example.com,001-705-716-2438,1983-08-02,2021-12-12,Retail
CUST-00105,John,Walker,kjuarez@example.org,224.636.5044,1987-12-29,2021-09-25,Retail
CUST-00106,Laurie,Jones,msaunders@example.com,415.507.0978x9962,1959-07-13,2024-10-23,Wealth
CUST-00107,Stephanie,Pratt,grant69@example.net,(536)264-0742,1992-05-05,2024-12-13,Wealth
CUST-00108,Sherry,Wilcox,mccormicktracy@example.com,001-980-635-5147x57991,1965-02-28,2023-09-27,Corporate
CUST-00109,Cynthia,Mcfarland,latoya89@example.com,(977)644-8464x32495,1947-02-27,2025-09-18,Retail
CUST-00110,Jasmine,Gonzalez,genelloyd@example.net,491-539-0823x9814,1998-11-02,2024-11-14,Retail
CUST-00111,Charles,Kemp,barnesmichael@example.com,810-826-7335,1961-09-15,2021-04-05,Retail
CUST-00112,Peggy,Williams,jwilliamson@example.org,722-273-6201x08125,2003-11-15,2025-06-05,Retail
CUST-00113,Daniel,Brooks,samanthahoward@example.com,001-369-573-8704x9630,1987-03-27,2022-01-07,Retail
CUST-00114,Jessica,Graham,ambersmith@example.com,260.508.0140,1936-03-23,2024-07-13,Wealth
CUST-00115,Anthony,Davenport,taylorvictoria@example.org,888-445-4241x22626,1947-11-17,2025-04-18,Wealth
CUST-00116,Jenna,Kim,ygonzales@example.org,+1-743-276-0438x186,1946-08-20,2025-10-29,Corporate
CUST-00117,Justin,Scott,jacqueline05@example.net,(672)295-0969x7207,1952-01-14,2022-10-15,Retail
CUST-00118,Sonya,Wyatt,thompsonchristopher@example.org,+1-664-773-3745,1974-05-05,2023-10-02,Wealth
CUST-00119,Nathan,Page,riosnicole@example.net,+1-363-667-3159,1987-07-16,2023-06-02,Corporate
CUST-00120,Elizabeth,Curtis,jeffreybarber@example.org,768-806-1671x9353,1975-03-09,2023-12-20,Corporate
CUST-00121,Ruth,Taylor,autumn47@example.org,(538)406-4760,1967-04-13,2022-07-15,Wealth
CUST-00122,Michelle,Rodriguez,candace74@example.org,326-616-2414,1940-01-08,2021-10-04,Wealth
CUST-00123,Timothy,Jones,marksanthony@example.org,8167100836,1968-04-13,2022-03-31,Corporate
CUST-00124,Stacy,Kelly,amanda32@example.com,565-708-4381x65285,1944-07-08,2022-03-23,Corporate
CUST-00125,Erica,Higgins,ellisonharold@example.org,502-721-5112x1578,1953-08-13,2023-12-08,Wealth
CUST-00126,Stephanie,Morgan,perezzachary@example.net,356-788-8552x1115,1939-01-28,2021-07-27,Corporate
CUST-00127,Chad,Ford,douglas28@example.com,523-218-2549x258,1948-07-11,2023-07-18,Retail
CUST-00128,Valerie,Fitzpatrick,traviskramer@example.net,833.640.5777,1999-08-29,2021-07-03,Corporate
CUST-00129,Nancy,Turner,samanthamorrison@example.com,481-515-0647x427,1958-06-09,2022-03-03,Corporate
CUST-00130,David,Kline,pinedapaul@example.com,001-605-677-7147x0091,1997-09-05,2023-08-15,Corporate
CUST-00131,Timothy,Mason,scott40@example.net,907-713-6967x48180,1957-09-29,2021-05-09,Wealth
CUST-00132,Paul,Harvey,tbradford@example.org,949.295.0703x5674,1956-01-04,2024-05-19,Retail
CUST-00133,Caleb,Cox,ayalachristian@example.net,+1-764-333-2149x5618,1966-02-25,2021-11-25,Corporate
CUST-00134,Mary,Moreno,susan50@example.org,947.264.5493,1987-04-03,2025-08-09,Wealth
CUST-00135,Robert,Mcguire,brenda02@example.com,643.657.5500x042,1993-01-26,2023-05-17,Corporate
CUST-00136,Sharon,Mccarthy,cclements@example.com,404.671.3543x317,1988-05-26,2021-05-21,Corporate
CUST-00137,Crystal,Gibson,sellis@example.org,821.636.8029,1995-01-19,2024-08-19,Wealth
CUST-00138,Christopher,Ellison,whitneywood@example.com,(805)213-0048,1998-03-27,2023-03-01,Corporate
CUST-00139,Dawn,Bell,william88@example.net,+1-817-660-7343x6877,1995-12-18,2021-06-24,Wealth
CUST-00140,Phillip,Bradley,smithbrittany@example.org,626.883.2242,2001-01-01,2023-08-29,Retail
CUST-00141,Janice,Odom,xtorres@example.org,001-778-808-5552x55923,1940-04-20,2024-06-21,Retail
CUST-00142,Karen,Maddox,parkerkayla@example.org,+1-271-804-3230x98672,1988-01-18,2026-02-16,Corporate
CUST-00143,Samantha,Johnson,andre70@example.net,001-765-500-0234,1957-05-26,2023-08-28,Retail
CUST-00144,Cynthia,Kelly,gonzalezjessica@example.net,001-993-225-2002,1936-05-04,2022-03-04,Retail
CUST-00145,Sean,Schultz,emoon@example.com,001-947-663-0130x46827,1970-05-03,2024-10-17,Corporate
CUST-00146,Larry,Martin,nmartin@example.com,(439)623-8948x60735,1995-03-21,2025-05-03,Wealth
CUST-00147,Benjamin,Davis,rrhodes@example.net,+1-917-377-0502x4825,1940-11-14,2023-05-20,Corporate
CUST-00148,Dominique,Brewer,ernest32@example.org,+1-718-374-1327x4327,1983-10-10,2024-02-07,Wealth
CUST-00149,Jonathan,Parker,perezjulia@example.org,(623)551-1255x461,1996-05-08,2021-05-08,Retail
CUST-00150,Emily,Snow,vlee@example.org,458.942.7814,1942-09-30,2022-12-15,Corporate
CUST-00151,Michael,Melton,farmerolivia@example.com,001-805-969-3841,1978-08-03,2021-12-05,Wealth
CUST-00152,Nicholas,Bradley,ryan06@example.org,984-439-3094x1923,1998-04-01,2021-04-20,Retail
CUST-00153,Donna,Taylor,jennifer17@example.org,001-236-237-5406,1979-01-13,2022-11-13,Wealth
CUST-00154,Eric,Stanley,krush@example.net,001-543-214-4064,1987-04-23,2025-11-30,Wealth
CUST-00155,Lori,Graves,floreschris@example.com,253-710-7738x0705,1988-03-10,2025-05-25,Corporate
CUST-00156,Trevor,Ford,xramirez@example.net,+1-523-290-2121x463,1953-11-26,2022-01-11,Wealth
CUST-00157,Taylor,Robbins,mullinscarol@example.com,547.693.1168x9456,1989-10-01,2022-09-07,Corporate
CUST-00158,Joseph,King,hespinoza@example.org,+1-878-923-6933x7373,1986-11-25,2025-03-14,Wealth
CUST-00159,Robert,Austin,pmiller@example.net,+1-358-591-6703x489,2001-12-08,2023-05-24,Corporate
CUST-00160,Sherry,Chase,xwallace@example.com,001-640-220-1473x8500,1938-04-01,2022-03-30,Corporate
CUST-00161,Paula,Jones,julie91@example.net,796.413.1175x3726,1970-08-22,2025-06-05,Retail
CUST-00162,Stacey,Hughes,veronica79@example.org,914-267-4583x61326,1948-06-18,2024-07-27,Corporate
CUST-00163,William,Fleming,kennedybrent@example.org,265.936.3047,1993-03-28,2023-01-07,Wealth
CUST-00164,Jose,Reynolds,josephpatton@example.net,+1-263-525-1683,1977-12-18,2023-03-29,Wealth
CUST-00165,James,Patel,ralph48@example.com,+1-905-666-5773x1201,2001-09-19,2022-08-02,Retail
CUST-00166,Suzanne,Simpson,cynthia47@example.com,+1-711-496-7419x735,1946-05-07,2025-06-15,Corporate
CUST-00167,Karen,Warren,michael83@example.com,788-955-9303x371,1995-08-04,2023-09-18,Corporate
CUST-00168,Andrew,Williams,moodycalvin@example.org,(712)545-0326x691,1984-08-06,2023-08-31,Retail
CUST-00169,Jamie,Heath,steven41@example.net,855-297-0134,1963-01-04,2022-07-01,Retail
CUST-00170,Marc,Lopez,kcastillo@example.org,001-864-297-5602,2006-03-26,2024-11-05,Wealth
CUST-00171,Jason,Robinson,alexanderjennifer@example.net,6774721998,1980-01-06,2025-07-30,Wealth
CUST-00172,Janice,Lee,nmarshall@example.org,832.834.3685x07129,1956-05-27,2022-08-03,Corporate
CUST-00173,Jamie,Flores,theresa51@example.net,979-706-0816x588,1963-05-26,2024-07-28,Corporate
CUST-00174,David,Morris,rogersbonnie@example.com,755.907.6204x7788,1949-07-01,2022-11-14,Retail
CUST-00175,Tonya,Shah,hpayne@example.net,930-557-8003,1987-11-16,2023-03-27,Corporate
CUST-00176,Brandy,Bailey,ucastaneda@example.org,(656)887-3431x289,1955-02-27,2022-10-11,Wealth
CUST-00177,Adam,Roman,alvinmatthews@example.com,001-654-806-7723x593,1967-11-15,2025-12-11,Wealth
CUST-00178,Cristina,Harrison,taylor74@example.org,(302)374-8562,1950-04-17,2025-02-16,Retail
CUST-00179,Christine,Dunn,stephanie14@example.com,3413153105,1944-02-21,2025-12-20,Wealth
CUST-00180,Eric,Duncan,joshua60@example.org,+1-887-954-2607,1973-09-05,2022-10-09,Corporate
CUST-00181,Vincent,Rodriguez,mendezmallory@example.com,001-254-798-5258,1983-06-14,2023-01-10,Retail
CUST-00182,Adam,Rodriguez,copelandvictoria@example.net,+1-379-653-7837x99081,1991-05-15,2023-07-10,Wealth
CUST-00183,Pamela,Yates,brandiwhite@example.net,(476)362-0708,1957-01-28,2022-01-02,Corporate
CUST-00184,Kelly,Bass,oliversusan@example.com,817.245.7658x166,1947-09-27,2021-06-03,Retail
CUST-00185,Sonya,Rivera,shanefleming@example.org,(483)621-6353,1946-05-31,2023-12-15,Retail
CUST-00186,Thomas,Bartlett,elizabeth90@example.net,001-714-387-3979,1935-11-01,2024-03-15,Wealth
CUST-00187,Kimberly,Howard,campbelltrevor@example.com,+1-353-340-4393x88157,1993-07-02,2022-06-18,Retail
CUST-00188,Katelyn,Williams,ubrown@example.net,424.236.3145x2324,2004-11-02,2022-11-25,Retail
CUST-00189,Maureen,Terry,serranodustin@example.net,(346)806-8496x08708,1988-08-13,2025-08-10,Wealth
CUST-00190,Maria,Clarke,gprice@example.org,2202385519,2005-10-06,2022-04-26,Wealth
CUST-00191,Lori,Bowen,christopherrobertson@example.com,6199668029,1938-10-24,2022-05-20,Retail
CUST-00192,Elizabeth,Steele,angelahines@example.org,211-290-8966,1994-06-19,2023-04-29,Wealth
CUST-00193,Holly,Garrett,lisapowell@example.com,001-747-357-7179x931,1938-09-19,2022-07-19,Wealth
CUST-00194,Jared,Foster,xdixon@example.com,+1-375-750-0393,1995-02-10,2021-08-26,Corporate
CUST-00195,Christopher,Macias,xwest@example.com,001-834-644-8939x573,1983-04-02,2025-04-09,Retail
CUST-00196,Anne,Gutierrez,james97@example.org,4228555945,1972-02-20,2025-07-13,Corporate
CUST-00197,Sandra,Collins,milleralexandra@example.org,341.733.7526x8254,1975-11-26,2022-08-15,Wealth
CUST-00198,Margaret,Wade,ifoster@example.net,213-780-8076,1936-09-29,2022-07-30,Wealth
CUST-00199,Joan,Rocha,haynesscott@example.org,4146166336,1954-10-30,2023-02-16,Wealth
CUST-00200,Amanda,Mcdonald,alarsen@example.com,001-291-532-3003x48993,1943-12-07,2025-11-28,Wealth
CUST-00201,David,Ferguson,kgilmore@example.com,+1-633-244-8411,1950-10-25,2022-10-11,Wealth
CUST-00202,Dana,Miller,sray@example.net,567.728.4189,2005-10-04,2025-12-24,Retail
CUST-00203,Kurt,Flowers,scottvaughn@example.net,001-788-677-1486x4562,2006-01-18,2023-01-04,Wealth
CUST-00204,Mary,Fuller,dennisbennett@example.com,(321)350-9326,1956-10-05,2024-06-10,Retail
CUST-00205,Karen,Callahan,brandon53@example.com,(804)990-3393,1980-02-01,2026-03-28,Wealth
CUST-00206,Zachary,Arellano,hallanthony@example.net,201-357-8715x054,1942-12-03,2022-03-25,Wealth
CUST-00207,Michael,Hernandez,kjohnson@example.net,+1-951-364-7840x43694,1989-12-04,2022-01-05,Retail
CUST-00208,Amanda,White,rcallahan@example.com,(611)573-8643x921,1945-03-27,2022-07-11,Wealth
CUST-00209,Jesus,Wall,amysmith@example.com,001-722-840-6236x32261,1984-01-23,2024-06-22,Retail
CUST-00210,Rebecca,Hendricks,christopher24@example.com,407.817.0234,1964-11-09,2025-05-31,Wealth
CUST-00211,Brittany,Griffin,stevensmichael@example.org,452.307.2097,1959-11-02,2024-10-30,Retail
CUST-00212,Angela,Patel,richardwatts@example.com,958.516.5853x14925,1951-01-22,2021-05-19,Retail
CUST-00213,David,Lewis,goodmanangela@example.com,001-549-443-2273x66281,2000-12-04,2023-03-14,Corporate
CUST-00214,Linda,Brooks,qbaker@example.net,(915)842-2314x8566,1961-05-09,2022-01-29,Wealth
CUST-00215,William,Bell,perezmichael@example.org,436.897.4841,1952-04-08,2025-03-09,Retail
CUST-00216,Madison,White,lisalynch@example.net,001-965-320-4280x0223,1993-12-20,2023-01-21,Wealth
CUST-00217,Christopher,Hensley,bethany49@example.net,706.687.3753x8971,1949-10-23,2022-11-22,Retail
CUST-00218,Jennifer,Bailey,josephtyler@example.org,205.578.4984x7019,1967-03-19,2021-11-29,Corporate
CUST-00219,Dustin,Perez,yobrien@example.com,684-230-5620,1981-12-20,2021-08-18,Wealth
CUST-00220,Mark,Compton,teresacrawford@example.org,273.541.1368x050,1982-07-17,2025-09-22,Corporate
CUST-00221,Susan,Mueller,kevinbryant@example.net,(295)464-6296,1959-05-03,2024-10-07,Corporate
CUST-00222,Donna,Armstrong,randallmitchell@example.org,(736)823-2257,1986-10-17,2025-09-04,Wealth
CUST-00223,David,Brooks,ellisonroy@example.com,452.215.6800,1956-05-14,2026-01-08,Corporate
CUST-00224,Michael,Sosa,trevor60@example.com,+1-759-574-0308x98096,1937-08-25,2022-09-06,Wealth
CUST-00225,Ricardo,Nelson,ryan89@example.com,758.277.4838,2000-02-19,2025-01-30,Corporate
CUST-00226,Joshua,Walton,nicole64@example.net,(585)682-1621x82209,1941-08-08,2026-01-03,Corporate
CUST-00227,Keith,Patterson,mcmillanjustin@example.net,001-764-678-7842x21829,1970-02-19,2024-02-23,Wealth
CUST-00228,Victoria,King,ronaldsanders@example.net,511-751-9390x984,2005-08-18,2021-08-25,Wealth
CUST-00229,Sarah,Cook,powellalison@example.net,(726)411-1633x40559,1998-11-02,2025-05-19,Wealth
CUST-00230,Diana,Lara,bcervantes@example.org,+1-375-501-8832x941,1982-09-02,2024-06-26,Wealth
CUST-00231,Anthony,Lester,gbates@example.net,(705)735-7350x65342,1941-01-11,2021-05-07,Corporate
CUST-00232,Laurie,Valdez,ilawrence@example.com,391.666.9699x62415,1958-03-24,2025-12-21,Retail
CUST-00233,Andrea,Schneider,hebertjared@example.com,500-801-3639x3308,1947-05-25,2021-08-10,Wealth
CUST-00234,Amy,Garcia,cunninghamdouglas@example.org,456-987-7162x6978,1953-09-06,2025-05-30,Wealth
CUST-00235,Nancy,Gutierrez,nancythompson@example.net,(497)245-0634,1950-02-20,2024-09-09,Corporate
CUST-00236,Whitney,Golden,mark79@example.net,001-595-433-4365x259,2004-10-06,2025-04-23,Wealth
CUST-00237,Christopher,Wiggins,burchnathan@example.org,001-849-608-7675x8412,1956-02-22,2023-09-21,Corporate
CUST-00238,Jason,Castillo,daniel58@example.com,(762)639-7337x895,1952-08-01,2022-09-19,Corporate
CUST-00239,Rita,Jordan,wardfrank@example.com,+1-559-404-4078x706,1975-07-24,2023-06-08,Corporate
CUST-00240,Aaron,Owen,abigail82@example.net,269.436.4974x3998,1988-06-01,2025-08-28,Corporate
CUST-00241,Tiffany,Rodriguez,djohnson@example.net,(239)757-4826x4863,1964-07-02,2023-09-19,Corporate
CUST-00242,Adam,Chapman,austinyoung@example.net,001-866-598-1132x075,1950-02-27,2021-05-09,Wealth
CUST-00243,Pamela,Clark,johngoodwin@example.net,985-997-7147x69767,1975-05-23,2023-08-06,Wealth
CUST-00244,Lisa,Lewis,santosheather@example.org,217-398-7901x85663,1971-05-02,2025-12-26,Corporate
CUST-00245,Diane,Spears,brianna84@example.net,+1-418-204-4560x8750,1977-04-09,2022-01-10,Wealth
CUST-00246,Melissa,Jensen,amanda08@example.org,(337)267-2728x2731,1949-12-07,2025-03-05,Retail
CUST-00247,Casey,Smith,kirkstone@example.net,(561)923-6904x99133,1966-04-07,2026-02-25,Retail
CUST-00248,Pedro,Lee,wubrandon@example.net,001-751-735-6202x8953,1961-09-18,2022-04-24,Retail
CUST-00249,Jennifer,Heath,woodmichael@example.com,832-577-6333x6128,1941-07-02,2025-12-19,Corporate
CUST-00250,Tyrone,Baker,stuartadam@example.com,+1-986-654-3837,1957-03-02,2022-01-14,Retail
CUST-00251,Christopher,Cortez,meyerpaul@example.org,001-834-346-9753x4539,1972-03-16,2023-11-08,Wealth
CUST-00252,Walter,Howell,douglas19@example.com,001-720-736-8080,1936-02-12,2026-03-01,Retail
CUST-00253,Todd,Smith,gramirez@example.org,(996)302-4587x177,2002-12-23,2025-03-22,Retail
CUST-00254,Catherine,Davis,reyesmichael@example.com,(551)733-2466x98965,1987-11-20,2024-11-12,Corporate
CUST-00255,Jennifer,Williams,markpayne@example.net,445.814.6934x5173,1959-09-09,2025-02-24,Corporate
